category,SHEF_C,SHEF_C_CODE
Lamp/Bulb Failure,Road Safety & Defects,C7
Veg Impeding FW/CW,Environmental Disruptions,C2
Signal Stuck,Road Safety & Defects,C7
Blocked/Damaged,Environmental Health,C3
Sign (unlit),Road Safety & Defects,C7
Manhole/drain cover on road/cycleway,Environmental Health,C3
1 signal light out,Road Safety & Defects,C7
"Street lighting (parks, car parks and op",Road Safety & Defects,C7
Highway Bridges - Damaged/Unsafe,Environmental Disruptions,C2
Missed Food Waste Collection,Environmental Health,C3
Timing of proposed works,Road Safety & Defects,C7
Litter,Environmental Health,C3
General Information Request,Other,C5
Damaged Speed Humps,Road Safety & Defects,C7
Signs,Road Safety & Defects,C7
Road and Pavement Issues,Road Safety & Defects,C7
Speeding Issues,Other,C5
Tree is dead or dying,Environmental Disruptions,C2
Damage to grass verges,Road Safety & Defects,C7
Damage - bus stop leaning,Environmental Disruptions,C2
Pothole,Road Safety & Defects,C7
Property damage,Environmental Disruptions,C2
Traffic bollard,Road Safety & Defects,C7
Trees and Woodland Maintenance,Environmental Disruptions,C2
Kerbs,Environmental Disruptions,C2
Pothole on road/cycleway,Road Safety & Defects,C7
Tree blocking daylight,Environmental Disruptions,C2
Bin bags,Environmental Health,C3
Standing water,Environmental Health,C3
Bus stops,Environmental Disruptions,C2
Gates/Stiles on a public right of way,Access,C1
Park / open space,Public Space,C6
Graffiti or flyposting (offensive),Incivilities,C4
Overhanging Branches,Environmental Disruptions,C2
Tree or Shrub on a road or footway,Access,C1
Lighting enquiry,Road Safety & Defects,C7
Blocked - flooding private property,Environmental Health,C3
Overhanging branches,Environmental Disruptions,C2
Traffic sign light,Road Safety & Defects,C7
Carriageway defect,Road Safety & Defects,C7
Pedestrian Barriers - Damaged / Missing,Access,C1
Icy Footpath,Road Safety & Defects,C7
Passage-Obstructed/Overgrown,Environmental Disruptions,C2
Grit bin issue,Road Safety & Defects,C7
Bench Damaged Hazard,Road Safety & Defects,C7
Subway Lighting,Road Safety & Defects,C7
Abandoned vehicles,Abandoned Vehicles & Parking,C8
Paved OS CP Surface Issue,Other,C5
Bus Stops,Environmental Disruptions,C2
Pavement and road repairs,Road Safety & Defects,C7
Dog Bins,Environmental Health,C3
"Report ice, snow, and frost on roads and footpaths",Road Safety & Defects,C7
Abandoned Santander Cycle,Abandoned Vehicles & Parking,C8
Quality/Speed of Service,Other,C5
Other street defect,Road Safety & Defects,C7
Demo,Other,C5
Gully,Environmental Health,C3
Mud / Slippery surface,Road Safety & Defects,C7
General (SL & Signals),Other,C5
Pedestrian Barrier Issue,Access,C1
Sport Area,Public Space,C6
Utility Works and Manhole Covers,Environmental Disruptions,C2
Hazardous or fallen trees,Environmental Disruptions,C2
Car parks,Abandoned Vehicles & Parking,C8
Rats,Environmental Health,C3
Request Timing Review,Road Safety & Defects,C7
Contractor Enquiry/Complaints,Other,C5
Trade Waste,Environmental Health,C3
Bus stop/shelter issue,Environmental Disruptions,C2
Pothole on a road or footway,Road Safety & Defects,C7
Discarded Syringes,Environmental Health,C3
Garage areas,Environmental Health,C3
Illuminated Sign,Road Safety & Defects,C7
Noxious/Injurious Weed Hazard,Environmental Disruptions,C2
Road works problem,Road Safety & Defects,C7
Trip hazard/uneven surface,Environmental Health,C3
Fly-Tipping,Environmental Health,C3
Dead animal,Environmental Health,C3
Dumped cylinder,Environmental Health,C3
Light Out,Road Safety & Defects,C7
Street furniture,Environmental Disruptions,C2
Road Signage,Road Safety & Defects,C7
Pavement defect,Road Safety & Defects,C7
Lighting,Road Safety & Defects,C7
Problem with tree stumps,Environmental Disruptions,C2
Other,Other,C5
Pavements & kerbs,Road Safety & Defects,C7
Tree (dangerous),Environmental Disruptions,C2
Fly-posting,Incivilities,C4
Pavement Damaged/Cracked,Road Safety & Defects,C7
Pavement,Access,C1
Graffiti / Flyposting on stop or shelter (non-offensive),Incivilities,C4
Tree Roots,Environmental Disruptions,C2
Highway Schemes,Road Safety & Defects,C7
Surface Defect on a public right of way,Road Safety & Defects,C7
Road Works,Road Safety & Defects,C7
Offensive Graffiti on Property,Incivilities,C4
Public toilets,Access,C1
Damage - lighting not working (bus shelter),Environmental Disruptions,C2
Litter Bin overflow in Parks & Open spaces,Environmental Health,C3
"Damaged road edge, encroaches more than 100mm",Road Safety & Defects,C7
Drainage,Environmental Health,C3
Highways,Road Safety & Defects,C7
Miscellaneous,Other,C5
Bus shelters,Environmental Disruptions,C2
Trunkroad or motorway defect,Road Safety & Defects,C7
Park / Open space,Public Space,C6
Damaged/missing paving slab,Road Safety & Defects,C7
Sign or Marking,Road Safety & Defects,C7
Tree Pruning Request,Environmental Disruptions,C2
Bridge or Structure,Environmental Disruptions,C2
Bus Stop Sign Missing/Damaged,Environmental Disruptions,C2
Dying or dangerous tree,Environmental Disruptions,C2
Bin bags/ Cardboard boxes,Environmental Health,C3
Restricted Visibility / Overgrown / Overhanging,Environmental Disruptions,C2
Low hanging branches,Access,C1
Traffic Lights (permanent only),Road Safety & Defects,C7
Replacement Refuse and Recycling Bins,Environmental Health,C3
Sign Or Marking,Road Safety & Defects,C7
Obstruction on pavement/verge,Access,C1
Flooding/drainage,Environmental Health,C3
Overgrown vegetation,Environmental Disruptions,C2
Gully or manhole defect,Environmental Health,C3
Timetable Missing/Damaged,Environmental Disruptions,C2
Fly Posting,Incivilities,C4
Unsecured void properties,Other,C5
General (Cleanliness),Other,C5
Lights too bright/ dull,Road Safety & Defects,C7
Disabled Parking Bays,Abandoned Vehicles & Parking,C8
Litter Bin overflow,Environmental Health,C3
Street works and obstructions,Road Safety & Defects,C7
Tree Or Shrub,Environmental Disruptions,C2
Faulty street light,Road Safety & Defects,C7
Flytipping (off-road),Environmental Health,C3
Spillage on network,Environmental Health,C3
General Fault,Road Safety & Defects,C7
Zebra crossing,Road Safety & Defects,C7
Flooded underpass,Environmental Health,C3
Fallen Branches,Environmental Disruptions,C2
Graffiti On Council Property,Incivilities,C4
Winter Maintenance,Road Safety & Defects,C7
Hedges / Trees on road or verge,Access,C1
Problem with tree roots,Environmental Disruptions,C2
Multiple potholes (various sizes),Road Safety & Defects,C7
Street Light Leaning,Road Safety & Defects,C7
Road Traffic Signs,Road Safety & Defects,C7
Collapsed verge,Road Safety & Defects,C7
Litter in Parks & Open spaces,Environmental Health,C3
Drainage Or Flooding on a public right of way,Environmental Health,C3
Flooding in the road,Environmental Health,C3
Traffic Signals Damaged,Road Safety & Defects,C7
Request new container,Environmental Health,C3
Emergency - Leaning tree,Road Safety & Defects,C7
Traffic Signal Timing (perm),Road Safety & Defects,C7
Debris & spillage,Environmental Health,C3
Single pothole (less than 30cm wide and 4cm deep),Road Safety & Defects,C7
Shopping trolleys,Incivilities,C4
Single pothole (more than 30cm wide and 4cm deep),Road Safety & Defects,C7
Tree obscuring streetlight,Environmental Disruptions,C2
Skip problem,Environmental Health,C3
Flooding of a road or pavement,Environmental Health,C3
Damaged pavement,Access,C1
Tree causing damage to property,Environmental Disruptions,C2
Parks and playing fields,Public Space,C6
General (Gras/Hedge/Tree),Environmental Disruptions,C2
Noisy Column,Road Safety & Defects,C7
Bench Damaged NonHazard,Road Safety & Defects,C7
Rotten timber handrails or decking,Access,C1
Skip Licence,Other,C5
Fallen or leaning tree,Environmental Disruptions,C2
Refuse Collection,Environmental Health,C3
Traffic Light Fault,Road Safety & Defects,C7
"Structures (eg bridges, fencing, noise barriers)",Environmental Disruptions,C2
"Damage to bins, benches, and infrastructure",Environmental Health,C3
Grass verges,Environmental Disruptions,C2
Damage to Property,Other,C5
Bollards on a road or footway,Access,C1
Highway Condition Enquiry,Road Safety & Defects,C7
Street light wiring exposed,Road Safety & Defects,C7
Street nameplate,Environmental Disruptions,C2
Parks/landscapes,Public Space,C6
Damaged/ cracked drain or man hole cover,Environmental Health,C3
Light on during daylight hours,Road Safety & Defects,C7
Dog bin overflowing,Environmental Health,C3
Shrubs and Hedge,Environmental Disruptions,C2
Stuck on red,Road Safety & Defects,C7
Grids and Drains,Environmental Health,C3
Hedge Pruning,Environmental Disruptions,C2
Steps Damaged/Uneven,Access,C1
Graffiti / Flyposting (non-offensive),Incivilities,C4
Debris in the carriageway,Environmental Health,C3
Highways - Emergency,Road Safety & Defects,C7
Trees/Hedges Overhanging Roads Or Footpaths,Environmental Disruptions,C2
Junction Markings,Road Safety & Defects,C7
Damaged/missing cats eye,Road Safety & Defects,C7
Pedestrian barrier/ railing damaged,Access,C1
Hoardings blocking carriageway or footway,Road Safety & Defects,C7
Overgrown tree/hedges,Environmental Disruptions,C2
Trees overhanging highways,Access,C1
Illum. Sign Minor Damage,Road Safety & Defects,C7
Ditch issue,Environmental Disruptions,C2
Overhanging vegetation from private land,Environmental Disruptions,C2
"Street lighting (parks, car parks, open",Road Safety & Defects,C7
Car parks (only council run ones),Abandoned Vehicles & Parking,C8
Request for tree to be planted,Environmental Disruptions,C2
Grass needs cutting,Environmental Disruptions,C2
Bollard - lit,Road Safety & Defects,C7
Signals stuck on red,Road Safety & Defects,C7
"Bridge, Subway or Culvert on a road or footway",Environmental Disruptions,C2
Vegetation Or Weeds on a public right of way,Access,C1
Bin not returned,Environmental Health,C3
TPO enquiry,Other,C5
Ice & snow,Road Safety & Defects,C7
Damaged/missing pedestrian guardrail,Road Safety & Defects,C7
unlit bollard knockdown/ missing (non hazardous),Road Safety & Defects,C7
Graffiti / Flyposting on traffic light (offensive),Incivilities,C4
Mud or Debris on the road,Environmental Health,C3
Japanese knotweed / ragwort,Environmental Disruptions,C2
Unauthorised Attachment,Other,C5
Temporary,Road Safety & Defects,C7
Tree or Shrub on a verge or open space,Public Space,C6
Sign Twisted/Misaligned,Road Safety & Defects,C7
Culvert,Environmental Disruptions,C2
Manhole covers,Environmental Health,C3
Noise report,Incivilities,C4
Entertainment,Other,C5
Overgrown Weeds,Environmental Disruptions,C2
Pedestrian Barrier Corroded,Access,C1
Sign or road marking missing following works,Road Safety & Defects,C7
Sponsor a tree,Other,C5
Road or pavement defect,Road Safety & Defects,C7
"Fly Tipping on a road, footway, verge or",Environmental Health,C3
Cats Eyes,Road Safety & Defects,C7
Waste spillage,Environmental Health,C3
Bollard Out Of Light,Road Safety & Defects,C7
Stile-Damaged/Missing,Access,C1
Damage Public Litter Bin,Environmental Health,C3
Overgrown trees,Environmental Disruptions,C2
Blocked rainwater gulleys,Environmental Health,C3
Footway / carriageway,Access,C1
Bollard,Road Safety & Defects,C7
Safety fence or barrier,Road Safety & Defects,C7
Traffic signal faulty,Road Safety & Defects,C7
Street washing,Road Safety & Defects,C7
Obstructing The Road,Road Safety & Defects,C7
Refuse collection,Environmental Health,C3
Column Damaged,Road Safety & Defects,C7
General (Roads & Pav.),Road Safety & Defects,C7
Pedestrian railing,Access,C1
Works crew - way of working,Road Safety & Defects,C7
Blocked Drain,Environmental Health,C3
Flyposting (on road or roadside),Incivilities,C4
"Street lighting (parks, car parks, open spaces and footpaths)",Road Safety & Defects,C7
Missed published Gritted Route,Road Safety & Defects,C7
Road markings and lining,Road Safety & Defects,C7
Public Right of Way (including Cycleway),Access,C1
Alcohol,Other,C5
Lit Bollards (Electrical),Road Safety & Defects,C7
Missed Cut,Environmental Disruptions,C2
Parks repairs,Environmental Disruptions,C2
Dog Waste Bin,Environmental Health,C3
General (Ironworks),Other,C5
Trees on and near highways and footpaths,Access,C1
Iluminated Bollard,Road Safety & Defects,C7
Litter in the street,Environmental Health,C3
Drainage or Flooding on a public right of way,Environmental Health,C3
Council Estate Services,Other,C5
Gully Catch Soakwy: Non Func,Environmental Health,C3
General (CP & ABV),Other,C5
Parks,Public Space,C6
Trees (along Public Rights of Way),Access,C1
Needles,Environmental Health,C3
Problem with a light not shown on map,Road Safety & Defects,C7
Bin Damaged NonHazard,Environmental Health,C3
Tree Requires Pruning,Environmental Disruptions,C2
Tree is considered to be causing damage,Environmental Disruptions,C2
Footway,Road Safety & Defects,C7
Dog Bin overflow,Environmental Health,C3
Hedge problem,Environmental Disruptions,C2
Damaged road,Road Safety & Defects,C7
Tree obstructing street light,Environmental Disruptions,C2
Dead Animal,Environmental Health,C3
"Public rights of way, alleyways and bridlepaths",Access,C1
Pavements,Road Safety & Defects,C7
Oil spillage,Environmental Health,C3
2 signal lights out,Road Safety & Defects,C7
Enquiry regarding newly planted tree,Road Safety & Defects,C7
Other street furniture,Road Safety & Defects,C7
Road lighting,Road Safety & Defects,C7
Broken / Missing,Environmental Health,C3
Grass,Environmental Disruptions,C2
Growth at the bottom of trees/regrowth,Environmental Disruptions,C2
Vegetation on a public right of way,Access,C1
Single light out/flickering,Road Safety & Defects,C7
Fallen tree,Environmental Disruptions,C2
Blocked drains and gullies,Environmental Health,C3
"Vandalism/disturbance (example, cones moved from works)",Other,C5
Unlit Bollard Issue Hazardous,Road Safety & Defects,C7
Untaxed vehicle,Abandoned Vehicles & Parking,C8
Surface water on Highway,Environmental Health,C3
Obstruction on road or pavement,Access,C1
Skips,Environmental Health,C3
Highway Improvements on a road or footwa,Road Safety & Defects,C7
Bollards,Access,C1
Slabs - Missing,Access,C1
Parking enforcement,Abandoned Vehicles & Parking,C8
Salt Bin Request,Road Safety & Defects,C7
Street Lighting and Road Signs,Road Safety & Defects,C7
Household bins left out,Environmental Health,C3
Full bin,Environmental Health,C3
"Bridge, Subway or Culvert in an open space",Environmental Disruptions,C2
General Enquiry,Other,C5
Parks and Greenspace,Public Space,C6
Tree Or Shrub on a road or footway,Access,C1
Bin Damaged Hazard,Environmental Health,C3
Damaged equipment,Public Space,C6
Weeds on roads or footpaths,Environmental Disruptions,C2
Blocked drain,Environmental Health,C3
Icy Road,Road Safety & Defects,C7
Damage to road,Road Safety & Defects,C7
Kerb damage / issue,Environmental Disruptions,C2
Tree,Environmental Disruptions,C2
Road signs,Road Safety & Defects,C7
Bollards (unlit),Road Safety & Defects,C7
Diseased Tree,Environmental Disruptions,C2
Damaged bollards/posts,Road Safety & Defects,C7
Highway Tree Removal,Environmental Disruptions,C2
Highways Maintenance,Road Safety & Defects,C7
Trees overhanging/obstructing the road or footpath,Environmental Disruptions,C2
Obstruction,Access,C1
Bus Stop Pole Leaning/Damaged,Environmental Disruptions,C2
Tree (fallen branches),Environmental Disruptions,C2
Trees,Environmental Disruptions,C2
Drains/Ditches Blocked,Environmental Disruptions,C2
Street Cleaning Enquiry,Environmental Health,C3
"Damaged, dirty, or missing bin",Environmental Health,C3
Salt bins,Road Safety & Defects,C7
Missing Drain Cover,Environmental Health,C3
Vandalism,Other,C5
Utility equipment,Environmental Disruptions,C2
Manhole Cover,Environmental Health,C3
Abandoned and Untaxed Vehicles,Abandoned Vehicles & Parking,C8
Blocked drain / Flooding,Environmental Health,C3
Flooded subway,Environmental Health,C3
Low hanging branches and general maintenance,Access,C1
Zebra Crossing Light,Road Safety & Defects,C7
Leaning Tree,Environmental Disruptions,C2
Street Nameplates,Environmental Disruptions,C2
Leafing,Environmental Disruptions,C2
Litter Bin on a verge or open space,Environmental Health,C3
Light on during the day,Road Safety & Defects,C7
Enforcement,Abandoned Vehicles & Parking,C8
Illegal Street Trading,Other,C5
Verge cutting required,Environmental Disruptions,C2
Tree/branch/hedge - overgrown,Environmental Disruptions,C2
Directional Signs,Public Space,C6
Attachment Distract/Obstruct,Road Safety & Defects,C7
Play area safety issue,Public Space,C6
Not coming on/ faulty,Road Safety & Defects,C7
Exposed cables/wires,Environmental Health,C3
Missing Kerb Stones,Environmental Disruptions,C2
Road defect,Road Safety & Defects,C7
General (H-way Emerg.),Road Safety & Defects,C7
Uneven footway,Access,C1
Vehicle Access,Access,C1
Play Area Issues on a verge or open spac,Public Space,C6
Pavement Jetting,Road Safety & Defects,C7
Tree/branch - may fall,Environmental Disruptions,C2
Traffic Lights,Road Safety & Defects,C7
Traffic Signals,Road Safety & Defects,C7
Retaining Wall,Environmental Disruptions,C2
Trees and plants,Environmental Disruptions,C2
"Fly Tipping on a road, footway, verge or open space",Environmental Health,C3
Gully and Catchpits,Environmental Health,C3
Trees & hedges,Environmental Disruptions,C2
Street Works (Utilities),Road Safety & Defects,C7
Unstable scaffolding,Other,C5
Car Parks and ticket machines,Abandoned Vehicles & Parking,C8
General (Lines & Signs),Other,C5
Works notification letter/leaflet,Road Safety & Defects,C7
Streetlight Obscured by Veg,Road Safety & Defects,C7
Street light intermittent,Road Safety & Defects,C7
Carriageway,Road Safety & Defects,C7
Blocked Ditch,Environmental Health,C3
Flooding from a blocked drain,Environmental Health,C3
Obstruction (Not Vegetation),Access,C1
Parking queries/reports,Abandoned Vehicles & Parking,C8
Damage to paintwork/ column,Road Safety & Defects,C7
Warning Signs,Other,C5
"Public rights of way, alleyways and brid",Access,C1
Traffic lights & crossings problems with timings,Road Safety & Defects,C7
Hedge/Tree Maintenance,Environmental Disruptions,C2
Drains,Environmental Health,C3
Rubbish,Environmental Health,C3
Flytipping and dumped rubbish,Environmental Health,C3
Request gritting action,Road Safety & Defects,C7
Dropped kerb - Apply for new / extend crossover,Road Safety & Defects,C7
Pothole on pavement/verge,Road Safety & Defects,C7
Bin Request,Environmental Health,C3
Leaves/ leaf fall,Environmental Disruptions,C2
Mud and Debris,Environmental Health,C3
Other water on the Highway,Environmental Health,C3
Fly tipping,Environmental Health,C3
Worn out road markings,Road Safety & Defects,C7
Unauthorised skip,Other,C5
Long Grass Hazardous,Environmental Disruptions,C2
Pothole In CW/FW,Road Safety & Defects,C7
Rubbish (refuse and recycling),Environmental Health,C3
Traffic lights & signals,Road Safety & Defects,C7
Manhole/drain cover on pavement/verge,Environmental Health,C3
Tree blocking TV/Satellite or radio signal,Environmental Disruptions,C2
Weed control,Environmental Disruptions,C2
Parks and open spaces,Public Space,C6
Ironwork Corroded/Damaged,Environmental Health,C3
Access Arrangements,Access,C1
White Bar Marking,Road Safety & Defects,C7
Dog Mess,Environmental Health,C3
Garden Waste,Environmental Health,C3
Gully Catch Soakwy: Bad Smell,Environmental Health,C3
General (Winter),Road Safety & Defects,C7
Wires exposed/Door off,Other,C5
Pest Control,Environmental Health,C3
Road or pavement damage,Road Safety & Defects,C7
Bridges/Subways,Environmental Disruptions,C2
Fly Tipping,Environmental Health,C3
Tree matters / Preservation Orders,Environmental Disruptions,C2
All out,Road Safety & Defects,C7
Oil Spillage,Environmental Health,C3
Street Cleansing,Environmental Health,C3
Trees overhanging roads/paths,Access,C1
Overhanging Foliage,Environmental Disruptions,C2
Safety fences and barriers,Road Safety & Defects,C7
Debris/spillage,Environmental Health,C3
Poop Scoop Bins,Environmental Health,C3
Graffiti/Flyposting: Offensive,Incivilities,C4
Council car parks,Abandoned Vehicles & Parking,C8
Traffic signal obstructed by vegetation,Road Safety & Defects,C7
Traffic Lights - Permanent,Road Safety & Defects,C7
Flooding on a road or footway,Environmental Health,C3
Helpfulness of staff,Other,C5
Pavements/footpaths,Road Safety & Defects,C7
Fly-Posting,Incivilities,C4
Blocked Ditch Causing Flooding,Environmental Health,C3
Graffiti / Flyposting on traffic light (non-offensive),Incivilities,C4
Private property,Other,C5
lit bollard knocked down,Road Safety & Defects,C7
Car parking,Abandoned Vehicles & Parking,C8
Short Grass,Environmental Disruptions,C2
Street Name Plate,Environmental Disruptions,C2
Leaves,Environmental Disruptions,C2
Abandoned Vehicle,Abandoned Vehicles & Parking,C8
Street Lights (Electrical),Road Safety & Defects,C7
Loose/missing/chipped kerbstone,Environmental Disruptions,C2
Soft Verge Damaged/Overrun,Road Safety & Defects,C7
Vegetation or Weeds on a public right of,Access,C1
Gate - Damaged/ Missing,Access,C1
Gullies,Environmental Health,C3
Gulley covers,Environmental Health,C3
Grit bin refills,Road Safety & Defects,C7
Crash Barriers - Damaged / Missing,Road Safety & Defects,C7
Temporary Traffic Lights,Road Safety & Defects,C7
Veg Obstructed: Traffic Signal,Environmental Disruptions,C2
Traffic lights problem at temporary roadworks,Road Safety & Defects,C7
Illegal advertising,Incivilities,C4
Tree blocking solar panels,Environmental Disruptions,C2
General Highways Enquiry,Road Safety & Defects,C7
Bin Repair,Environmental Health,C3
Missing/ damaged traffic sign,Road Safety & Defects,C7
Bollard light not working,Road Safety & Defects,C7
Roadside safety barrier,Road Safety & Defects,C7
Damaged cables,Road Safety & Defects,C7
To let signs,Other,C5
Graffiti,Incivilities,C4
Business bins left out,Environmental Health,C3
Flytipping (TfL),Environmental Health,C3
Shelter Damaged,Environmental Disruptions,C2
Emergency - Fallen tree,Road Safety & Defects,C7
Pavement damage,Road Safety & Defects,C7
Vegetation or Weeds on a public right of way,Access,C1
Crash Barriers Damaged/Missing,Road Safety & Defects,C7
Street light,Road Safety & Defects,C7
Lights out in Pedestrian Subway,Road Safety & Defects,C7
Footway Defect,Access,C1
Damage - wires exposed,Environmental Disruptions,C2
Signal Failure,Road Safety & Defects,C7
Removal Of Carcass,Environmental Health,C3
Off Street Parking,Abandoned Vehicles & Parking,C8
Media Enquiry,Other,C5
Carriageway Flood Hazardous,Road Safety & Defects,C7
Unlit sign knocked down,Road Safety & Defects,C7
Intermittent,Road Safety & Defects,C7
Street nameplaces,Environmental Disruptions,C2
Grass/Weeds,Environmental Disruptions,C2
Crash Barriers,Road Safety & Defects,C7
Vehicle Idling,Other,C5
Obstruction on Highways / Sight Lines,Access,C1
Graffiti on council buildings,Incivilities,C4
Spill - Oil/Diesel,Environmental Health,C3
Spillages,Environmental Health,C3
Sign issue,Road Safety & Defects,C7
Street Nameplate Dam./Miss.,Environmental Disruptions,C2
Road Sign,Road Safety & Defects,C7
Missing safety fence,Road Safety & Defects,C7
Litter or flytipping in a woodland,Environmental Health,C3
Failure to deliver bin,Other,C5
Damaged bench,Public Space,C6
Bollards (lit),Road Safety & Defects,C7
"Benches, tables, planters",Other,C5
Crash barriers,Road Safety & Defects,C7
Crossings,Road Safety & Defects,C7
Crossings and Beacons,Road Safety & Defects,C7
Flashing signs,Road Safety & Defects,C7
Hedges,Environmental Disruptions,C2
Invasive weeds,Environmental Disruptions,C2
Lit Bollards,Road Safety & Defects,C7
Lit Signs,Road Safety & Defects,C7
"Rubbish (refuse and recycling)	",Environmental Health,C3
